Administrative;Administrative_Duration;Informational;Informational_Duration;ProductRelated;ProductRelated_Duration;BounceRates;ExitRates;PageValues;SpecialDay;Month;OperatingSystems;Browser;Region;TrafficType;VisitorType;Weekend
1;0.0;0;0.0;39;1159.541667;0.00125;0.03125;0.0;0.0;Nov;2;2;6;2;Returning_Visitor;True
2;29.0;1;113.0;14;536.0357143;0.0;0.003571429;0.0;0.0;May;2;2;3;2;Returning_Visitor;False
0;0.0;0;0.0;12;312.35;0.0;0.041666667000000004;0.0;0.0;Nov;2;2;1;2;Returning_Visitor;False
6;88.0;0;0.0;17;538.9666667;0.0;0.021929825;0.0;0.0;May;2;2;5;4;Returning_Visitor;False
4;133.8;0;0.0;10;299.5;0.072222222;0.063095238;0.0;0.0;Jul;1;8;7;1;Returning_Visitor;False
1;20.0;0;0.0;18;512.8333333;0.021052632;0.046491227999999996;4.308315789;0.0;May;1;1;3;3;Returning_Visitor;False
0;0.0;0;0.0;17;315.0833333;0.0;0.014705882;0.0;0.0;Dec;2;2;3;1;Returning_Visitor;False
3;61.0;0;0.0;79;2819.966667;0.006097561;0.024390244;0.0;0.0;May;2;2;1;13;Returning_Visitor;False
1;14.0;1;19.0;49;1527.583333;0.007843137;0.017647059;8.926823529;0.0;May;2;2;9;3;Returning_Visitor;False
3;36.5;0;0.0;11;496.25;0.0;0.026190476;0.0;0.0;Dec;2;2;1;8;Returning_Visitor;False
0;0.0;0;0.0;5;108.0;0.0;0.04;0.0;0.0;May;2;2;3;2;Returning_Visitor;True
1;19.6;0;0.0;0;0.0;0.0;0.088888889;0.0;0.0;Oct;3;5;1;5;Returning_Visitor;False
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;Mar;3;2;2;1;Returning_Visitor;False
0;0.0;0;0.0;12;348.75;0.0;0.027777778;0.0;0.0;Nov;3;2;4;3;Returning_Visitor;False
0;0.0;0;0.0;4;123.3;0.0;0.0;67.98927956;0.0;Oct;1;1;1;2;Returning_Visitor;False
0;0.0;0;0.0;26;1312.333333;0.036538462;0.054230769000000005;0.0;0.0;Nov;3;2;1;13;Returning_Visitor;False
