[2020-Aug-03 19:23:30] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:00:15] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:16:47] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:18:19] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:18:42] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:20:05] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:20:31] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:24:07] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:34:36] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:36:31] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
[2020-Aug-03 22:37:35] Data: Administrative=5, Administrative_Duration=119,Informational=4, Informational_Duration=380,ProductRelated=4, ProductRelated_Duration=188,BounceRates=, ExitRates=0.006667, PageValues=,SpecialDay=5, Month=May, OperatingSystems=3,Browser=2, Region=3, TrafficType=4, VisitorType=Returning_Visitor,Weekend=
